<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.10437	1.10451	1.10411	1.10439	375	0	11
2024.01.02	01:00:00	1.10441	1.10447	1.10354	1.10364	2207	0	3
2024.01.02	02:00:00	1.10364	1.10384	1.10340	1.10381	2376	0	1
2024.01.02	03:00:00	1.10380	1.10432	1.10340	1.10347	5079	0	3
2024.01.02	04:00:00	1.10348	1.10358	1.10180	1.10187	5520	0	3
2024.01.02	05:00:00	1.10187	1.10248	1.10174	1.10244	2979	0	3
2024.01.02	06:00:00	1.10244	1.10249	1.10163	1.10209	3511	0	1
2024.01.02	07:00:00	1.10209	1.10335	1.10206	1.10331	5117	0	3
2024.01.02	08:00:00	1.10332	1.10352	1.10266	1.10287	6302	0	1
2024.01.02	09:00:00	1.10286	1.10381	1.10151	1.10156	10969	0	0
2024.01.02	10:00:00	1.10156	1.10389	1.10156	1.10298	11093	0	0
2024.01.02	11:00:00	1.10298	1.10380	1.10108	1.10152	8370	0	0
2024.01.02	12:00:00	1.10150	1.10171	1.09971	1.10075	9329	0	0
2024.01.02	13:00:00	1.10075	1.10077	1.09667	1.09693	12742	0	0
2024.01.02	14:00:00	1.09693	1.09721	1.09537	1.09540	10904	0	0
2024.01.02	15:00:00	1.09540	1.09651	1.09492	1.09528	14806	0	0
2024.01.02	16:00:00	1.09527	1.09643	1.09446	1.09629	20789	0	0
2024.01.02	17:00:00	1.09629	1.09684	1.09407	1.09437	23686	0	0
2024.01.02	18:00:00	1.09438	1.09618	1.09407	1.09565	13572	0	0
2024.01.02	19:00:00	1.09564	1.09577	1.09457	1.09506	10933	0	1
2024.01.02	20:00:00	1.09506	1.09560	1.09462	1.09468	6936	0	1
2024.01.02	21:00:00	1.09468	1.09503	1.09424	1.09465	6597	0	1
2024.01.02	22:00:00	1.09465	1.09512	1.09419	1.09424	7011	0	1
2024.01.02	23:00:00	1.09425	1.09428	1.09374	1.09407	3968	0	1
2024.01.03	00:00:00	1.09425	1.09438	1.09362	1.09411	2655	0	8
2024.01.03	01:00:00	1.09413	1.09439	1.09407	1.09415	2433	0	2
2024.01.03	02:00:00	1.09414	1.09505	1.09409	1.09493	2115	0	0
